,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top.Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,Corrected
1,1,6/7/2025,06:18.0,1,1,"Garayzar, Raul",814340,Right,ARI_WIL,"Kepley, Kane",823807,Left,NOR_TAR,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.55185,1.089417,-1.803995,2195.801883,132.271183,10:30,5.82871,2.27879,5.3178,-37.15014,4.71209,-4.11925,3.75589,0.24194,76.54275,-5.652391,-2.534821,0.465675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71252,2.45228,-2.11229,50,5.90012,3.90244,-118.65831,0.95044,2.50779,16.92704,-28.58294,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,586f8640-43b9-11f0-bf07-e94b9748e067,80.94155,NA,NA,5.00909,NA,NA,NA,NA,NA,NA,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,06:18.0,2025-06-07T12:06:18.0200960-04:00,2025-06-07T16:06:18.0200960Z,,v3,232,471370,NA,"Guzman, Adonys",702631,Right,ARI_WIL,cb36e80c-c74f-44f4-9dff-2ae9818c9d99,55.18277,-119.39536,8.46352,5.83164,2.19502,-14.29147,-2.27984,3.79324,1.25389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
2,2,6/7/2025,06:33.5,1,2,"Garayzar, Raul",814340,Right,ARI_WIL,"Kepley, Kane",823807,Left,NOR_TAR,Undefined,1,Top,0,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,91.59008,0.465319,-3.424162,2305.8608,264.624407,2:45,5.59252,2.55975,5.88595,-30.88482,2.04043,12.14501,3.45165,0.38849,84.78551,-5.217635,-1.248781,0.412987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.03839,1.2176,-2.29038,50,5.61214,7.44205,-133.06707,-0.04424,-12.79763,24.78435,-29.96015,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,61c64580-43b9-11f0-bf07-e94b9748e067,91.26793,NA,NA,6.80457,NA,NA,NA,NA,NA,NA,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,06:33.5,2025-06-07T12:06:33.5491072-04:00,2025-06-07T16:06:33.5491072Z,,v3,232,471370,NA,"Guzman, Adonys",702631,Right,ARI_WIL,6f78a29c-9470-41d9-938a-f52418471d3b,54.61416,-133.92372,12.39218,5.59577,0.99131,-14.98007,-2.55526,7.88439,-6.39882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
3,3,6/7/2025,06:50.8,1,3,"Garayzar, Raul",814340,Right,ARI_WIL,"Kepley, Kane",823807,Left,NOR_TAR,Undefined,1,Top,0,2,0,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,88.09932,-0.584469,-1.049746,2573.874947,166.239776,11:30,5.81729,2.34572,5.57453,-27.34403,8.5189,-1.85181,2.99261,1.21083,81.8401,-5.608819,-1.38025,0.431017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.69484,4.75855,-2.25413,50,5.74896,2.4267,-128.12543,-2.28046,1.17352,22.50982,-24.13758,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,6c05b710-43b9-11f0-bf07-e94b9748e067,87.45001,NA,NA,6.25922,NA,NA,NA,NA,NA,NA,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,06:50.8,2025-06-07T12:06:50.8360192-04:00,2025-06-07T16:06:50.8360192Z,,v3,232,471370,NA,"Guzman, Adonys",702631,Right,ARI_WIL,c43a107b-d4b4-4bb2-8dab-c6d3e7d3d673,54.92422,-128.98765,11.25491,5.8186,-1.3559,-12.06879,-2.34622,2.38175,0.58676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
4,4,6/7/2025,07:07.4,1,4,"Garayzar, Raul",814340,Right,ARI_WIL,"Kepley, Kane",823807,Left,NOR_TAR,Undefined,1,Top,0,3,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,91.80626,-0.836901,-2.776251,2325.767638,257.508479,2:30,5.54425,2.53312,5.7437,-28.93907,3.85512,13.52961,2.35249,1.07374,85.44771,-6.142325,-0.355447,0.412164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.5315,2.4315,-2.31059,50,5.45671,5.8847,-133.47735,-3.02626,-13.83387,23.84453,-27.70786,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,75cbb2e0-43b9-11f0-bf07-e94b9748e067,91.45012,NA,NA,6.35855,NA,NA,NA,NA,NA,NA,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,07:07.4,2025-06-07T12:07:07.4148864-04:00,2025-06-07T16:07:07.4148864Z,,v3,232,471370,NA,"Guzman, Adonys",702631,Right,ARI_WIL,eeed55be-9314-45c1-b4e3-fad576d072a0,54.75675,-134.32441,11.92227,5.54673,-2.04196,-13.85393,-2.52837,6.37614,-6.91694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
5,5,6/7/2025,07:24.8,1,5,"Garayzar, Raul",814340,Right,ARI_WIL,"Kepley, Kane",823807,Left,NOR_TAR,Undefined,1,Top,0,3,1,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,92.01056,0.54591,-1.752601,2295.219219,256.266998,2:30,5.58034,2.42223,5.61966,-28.29328,4.6015,15.16261,3.73227,2.04972,85.13103,-4.653615,0.954974,0.412795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.10339,2.48949,-2.28265,50,5.6086,3.41607,-133.7935,0.20837,-14.88849,25.18355,-27.6001,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,80264d90-43b9-11f0-bf07-e94b9748e067,91.31022,NA,NA,6.87953,NA,NA,NA,NA,NA,NA,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,07:24.8,2025-06-07T12:07:24.7880704-04:00,2025-06-07T16:07:24.7880704Z,,v3,232,471370,NA,"Guzman, Adonys",702631,Right,ARI_WIL,bcb2307a-6fd4-40cf-aeee-9f4444db3be4,54.88018,-134.70894,12.59178,5.58279,1.21167,-13.80005,-2.41667,3.95728,-7.44425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
6,6,6/7/2025,08:04.0,2,1,"Garayzar, Raul",814340,Right,ARI_WIL,"Van De Brake, Jackson",810708,Right,NOR_TAR,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,82.13556,-1.669075,-2.723662,2330.384723,178.034022,12:00,5.73509,2.24251,5.18958,-34.99415,7.75953,-0.21839,1.24656,-0.33982,75.2606,-8.04794,-2.762333,0.470607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.67484,4.75839,-1.98945,50,5.55366,5.67001,-118.99437,-4.70384,-0.9643,23.55806,-25.37457,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,97ba8700-43b9-11f0-bf07-e94b9748e067,80.09326,NA,NA,6.87496,NA,NA,NA,NA,NA,NA,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,08:04.0,2025-06-07T12:08:04.0397312-04:00,2025-06-07T16:08:04.0397312Z,,v3,232,471370,NA,"Guzman, Adonys",702631,Right,ARI_WIL,01b5b8d2-0107-4ec8-aaaf-806e7b904f72,55.30747,-120.04053,11.77903,5.73753,-3.57702,-12.68729,-2.24219,5.71283,-0.48215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
7,7,6/7/2025,08:25.8,2,2,"Garayzar, Raul",814340,Right,ARI_WIL,"Van De Brake, Jackson",810708,Right,NOR_TAR,Undefined,1,Top,0,1,0,Sinker,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,90.82775,-0.262578,-4.367149,2229.33847,249.014447,2:15,5.62848,2.57713,5.3845,-27.196,7.40945,16.46355,3.11531,-0.15225,83.00896,-5.268246,-1.450199,0.423393,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.45024,4.12193,-2.19807,50,5.58586,9.29166,-131.54875,-1.6289,-16.59443,27.35926,-24.93601,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,a49cde00-43b9-11f0-bf07-e94b9748e067,89.0247,NA,NA,7.81879,NA,NA,NA,NA,NA,NA,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,08:25.8,2025-06-07T12:08:25.8076672-04:00,2025-06-07T16:08:25.8076672Z,,v3,232,471370,NA,"Guzman, Adonys",702631,Right,ARI_WIL,2362f534-b109-488f-b4a5-2c58bf37dd4e,55.11377,-132.60804,13.67963,5.63024,-0.66344,-12.46801,-2.57026,9.93416,-8.29721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
8,8,6/7/2025,08:46.9,2,3,"Garayzar, Raul",814340,Right,ARI_WIL,"Van De Brake, Jackson",810708,Right,NOR_TAR,Undefined,1,Top,0,1,1,Cutter,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,88.77009,0.694126,-2.77259,2500.345651,178.456665,12:00,5.76,2.391,5.41711,-29.86293,6.06402,-0.13496,3.92244,-0.21949,81.6091,-4.786416,-2.796549,0.431402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.65106,3.20051,-2.14448,50,5.80095,6.24438,-128.81586,0.45331,-1.10118,25.10659,-26.76089,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,b11d3ee0-43b9-11f0-bf07-e94b9748e067,87.37206,NA,NA,7.16098,NA,NA,NA,NA,NA,NA,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,08:46.9,2025-06-07T12:08:46.8781056-04:00,2025-06-07T16:08:46.8781056Z,,v3,232,471370,NA,"Guzman, Adonys",702631,Right,ARI_WIL,d11e6677-221a-48e8-ad38-1ea1e2a84686,55.08045,-129.80228,12.5533,5.76249,1.50472,-13.38044,-2.39067,6.28764,-0.55059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
9,9,6/7/2025,09:29.3,2,4,"Garayzar, Raul",814340,Right,ARI_WIL,"Van De Brake, Jackson",810708,Right,NOR_TAR,Undefined,1,Top,0,2,1,Slider,Slider,BallCalled,Undefined,Undefined,StolenBase,0,0,,82.24358,0.293745,-2.88958,2223.241736,203.651478,12:45,5.85858,2.25608,5.32528,-31.51702,10.09981,3.93524,3.50816,-0.12972,76.35764,-5.472205,-2.191988,0.464308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.64984,5.34819,-1.99757,50,5.86237,5.86845,-119.44572,-0.47095,-3.89147,19.44736,-24.3199,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,ca61c060-43b9-11f0-bf07-e94b9748e067,81.17987,NA,NA,5.88593,NA,NA,NA,NA,NA,NA,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,09:29.3,2025-06-07T12:09:29.2790000-04:00,2025-06-07T16:09:29.2790000Z,,v3,232,471370,NA,"Guzman, Adonys",702631,Right,ARI_WIL,bfc3ba54-dbee-4ea1-9986-c45bf04b195d,55.17355,-120.28509,9.72368,5.86004,0.57873,-12.15995,-2.25449,6.03641,-1.94573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.87639,1.894707,0.699443,1.195264,-0.7274,3.29785,0.21127,0.4143,5.88913,1.10438,127.28102,-1.70407,4.49826,0.44879,119.08058,-11.30846,5.89972,9.28804,-13.2503,1.08489,-1.99265,4.30916,High,High,High,,,High,Medium,Low,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
10,10,6/7/2025,10:00.5,2,5,"Garayzar, Raul",814340,Right,ARI_WIL,"Van De Brake, Jackson",810708,Right,NOR_TAR,Undefined,1,Top,0,3,1,Sinker,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.98249,-0.751416,-3.29415,2274.978736,250.255898,2:15,5.71518,2.41191,5.84719,-26.98096,5.78107,13.53501,2.76732,0.47539,85.03411,-5.730442,-0.870083,0.411962,71.50256,49.209001,150.872538,4833.826506,NA,NA,NA,NA,51.65686,NA,NA,-7.78327,3.41205,-2.15202,50,5.63794,7.11647,-133.61718,-2.72201,-14.23175,25.70978,-25.93506,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,dd1ecf40-43b9-11f0-bf07-e94b9748e067,91.49504,50.25978,NA,6.94837,NA,NA,NA,1.58934,2.80978,-0.4673,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,10:00.5,2025-06-07T12:10:00.5387776-04:00,2025-06-07T16:10:00.5387776Z,,v3,232,471370,NA,"Guzman, Adonys",702631,Right,ARI_WIL,b43bcccb-e34f-435c-af0e-f7a306e32bf4,54.65325,-134.50954,12.85489,5.7168,-1.82183,-12.96753,-2.4076,7.61045,-7.11587,322.10488,1.58934,-59.84748,-0.87387,1.41046,-0.37465,-0.22035,0.44505,-0.32613,0.0946,2.80978,79.39708,-28.21366,3.47389,-0.61103,0.04707,0.04089,-0.035,0.01047,-0.4673,33.34892,-9.86192,3.26602,-0.64303,-0.2793,0.56929,-0.41523,0.12035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,Undefined,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
11,11,6/7/2025,10:26.6,2,6,"Garayzar, Raul",814340,Right,ARI_WIL,"Van De Brake, Jackson",810708,Right,NOR_TAR,Undefined,1,Top,0,3,2,Sinker,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,91.70053,-0.121529,-2.929773,2291.974058,250.564762,2:15,5.68113,2.31014,5.50126,-27.03025,6.57937,15.75127,3.3148,0.8802,84.09857,-5.101532,-0.12595,0.417257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.7139,3.6665,-2.06491,50,5.65232,6.09293,-133.08484,-1.30013,-15.69971,27.33783,-25.56818,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,ec816880-43b9-11f0-bf07-e94b9748e067,90.33397,NA,NA,7.60197,NA,NA,NA,NA,NA,NA,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,10:26.6,2025-06-07T12:10:26.5557504-04:00,2025-06-07T16:10:26.5557504Z,,v3,232,471370,NA,"Guzman, Adonys",702631,Right,ARI_WIL,1489e3e0-b0d1-4cac-8087-dd812e278713,54.9973,-134.10744,13.66891,5.68306,-0.34373,-12.78409,-2.30381,6.68019,-7.84986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
12,12,6/7/2025,12:15.0,3,1,"Garayzar, Raul",814340,Right,ARI_WIL,"Stevenson, Luke",806233,Left,NOR_TAR,Undefined,1,Top,0,0,0,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.32727,-0.663707,-5.584371,1928.025238,274.873105,3:15,5.5087,2.75763,5.42747,-38.43541,-0.28622,16.67521,1.68115,-1.09953,79.63795,-7.644864,-2.632752,0.444543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.89182,0.32016,-2.27337,50,5.42248,11.51406,-124.92876,-2.87375,-15.7558,23.31573,-31.66408,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,2d53cc90-43ba-11f0-bf07-e94b9748e067,84.78912,NA,NA,6.68932,NA,NA,NA,NA,NA,NA,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,12:15.0,2025-06-07T12:12:15.0427648-04:00,2025-06-07T16:12:15.0427648Z,,v3,232,471370,NA,"Guzman, Adonys",702631,Right,ARI_WIL,e9bf8237-7799-467f-b302-28968c256147,55.07366,-125.87211,11.65786,5.51283,-1.59263,-15.83204,-2.75212,12.15154,-7.8779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
13,13,6/7/2025,12:36.0,3,2,"Garayzar, Raul",814340,Right,ARI_WIL,"Stevenson, Luke",806233,Left,NOR_TAR,Undefined,1,Top,0,1,0,Cutter,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,89.61462,0.261331,-1.994658,2567.079811,215.087885,1:15,5.863,2.35618,5.89423,-25.38305,9.06831,5.68355,3.99052,0.97718,82.63369,-4.455852,-0.975187,0.422449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.40288,4.89091,-2.19882,50,5.86939,4.2962,-130.25691,-0.26711,-5.9053,24.77967,-23.68651,ARI_WIL,NOR_TAR,UNC,D1,ACC,20250607-UNC-1,399fd700-43ba-11f0-bf07-e94b9748e067,89.22358,NA,NA,6.98093,NA,NA,NA,NA,NA,NA,669ade51-a97b-4617-8f28-1f4d759dc7c1,6/7/2025,12:36.0,2025-06-07T12:12:35.9590400-04:00,2025-06-07T16:12:35.9590400Z,,v3,232,471370,NA,"Guzman, Adonys",702631,Right,ARI_WIL,e91666a7-9c5e-44ba-9727-69ce2b821d46,54.60368,-131.12977,12.38983,5.8641,0.56724,-11.84325,-2.35381,4.50421,-2.95265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
